circuit_id,circuit_name,location,country
adelaide,Adelaide Street Circuit,Adelaide,Australia
ain-diab,Ain Diab,Casablanca,Morocco
aintree,Aintree,Liverpool,UK
albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia
americas,Circuit of the Americas,Austin,USA
anderstorp,Scandinavian Raceway,Anderstorp,Sweden
avus,AVUS,Berlin,Germany
bahrain,Bahrain International Circuit,Sakhir,Bahrain
BAK,Baku City Circuit,Baku,Azerbaijan
boavista,Circuito da Boavista,Oporto,Portugal
brands_hatch,Brands Hatch,Kent,UK
bremgarten,Circuit Bremgarten,Bern,Switzerland
buddh,Buddh International Circuit,Uttar Pradesh,India
catalunya,Circuit de Barcelona-Catalunya,Montmeló,Spain
charade,Charade Circuit,Clermont-Ferrand,France
dallas,Fair Park,Dallas,USA
detroit,Detroit Street Circuit,Detroit,USA
dijon,Dijon-Prenois,Dijon,France
donington,Donington Park,Castle Donington,UK
essarts,Rouen-Les-Essarts,Rouen,France
estoril,Autódromo do Estoril,Estoril,Portugal
fuji,Fuji Speedway,Oyama,Japan
galvez,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina
george,Prince George Circuit,Eastern Cape Province,South Africa
hanoi,Hanoi Street Circuit,Hanoi,Vietnam
hockenheimring,Hockenheimring,Hockenheim,Germany
hungaroring,Hungaroring,Budapest,Hungary
imola,Autodromo Enzo e Dino Ferrari,Imola,Italy
indianapolis,Indianapolis Motor Speedway,Indianapolis,USA
interlagos,Autódromo José Carlos Pace,São Paulo,Brazil
istanbul,Istanbul Park,Istanbul,Turkey
jacarepagua,Autódromo Internacional Nelson Piquet,Rio de Janeiro,Brazil
jarama,Jarama,Madrid,Spain
jeddah,Jeddah Street Circuit,Jeddah,Saudi Arabia
jerez,Circuito de Jerez,Jerez de la Frontera,Spain
kyalami,Kyalami,Midrand,South Africa
las_vegas,Las Vegas Street Circuit,Nevada,USA
lemans,Le Mans,Le Mans,France
long_beach,Long Beach,California,USA
losail,Losail International Circuit,Al Daayen,Qatar
magny_cours,Circuit de Nevers Magny-Cours,Magny Cours,France
marina_bay,Marina Bay Street Circuit,Marina Bay,Singapore
miami,Miami International Autodrome,Miami,United States
monaco,Circuit de Monaco,Monte-Carlo,Monaco
monsanto,Monsanto Park Circuit,Lisbon,Portugal
montjuic,Montjuïc,Barcelona,Spain
monza,Autodromo Nazionale di Monza,Monza,Italy
mosport,Mosport International Raceway,Ontario,Canada
mugello,Autodromo Internazionale del Mugello,Mugello,Italy
nivelles,Nivelles-Baulers,Brussels,Belgium
nurburgring,Nürburgring,Nürburg,Germany
okayama,Okayama International Circuit,Okayama,Japan
osterreichring,A1-Ring,Spielberg,Austria
pedralbes,Circuit de Pedralbes,Barcelona,Spain
pescara,Pescara Circuit,Pescara,Italy
phoenix,Phoenix street circuit,Phoenix,USA
portimao,Autódromo Internacional do Algarve,Portimão,Portugal
port_imperial,Port Imperial Street Circuit,New Jersey,USA
red_bull_ring,Red Bull Ring,Spielberg,Austria
reims,Reims-Gueux,Reims,France
ricard,Circuit Paul Ricard,Le Castellet,France
riverside,Riverside International Raceway,California,USA
rodriguez,Autódromo Hermanos Rodríguez,Mexico City,Mexico
sebring,Sebring International Raceway,Florida,USA
sepang,Sepang International Circuit,Kuala Lumpur,Malaysia
shanghai,Shanghai International Circuit,Shanghai,China
silverstone,Silverstone Circuit,Silverstone,UK
sochi,Sochi Autodrom,Sochi,Russia
spa,Circuit de Spa-Francorchamps,Spa,Belgium
suzuka,Suzuka Circuit,Suzuka,Japan
tremblant,Circuit Mont-Tremblant,Quebec,Canada
valencia,Valencia Street Circuit,Valencia,Spain
villeneuve,Circuit Gilles Villeneuve,Montreal,Canada
watkins_glen,Watkins Glen,New York State,USA
yas_marina,Yas Marina Circuit,Abu Dhabi,UAE
yeongam,Korean International Circuit,Yeongam County,Korea
zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands
zeltweg,Zeltweg,Styria,Austria
zolder,Zolder,Heusden-Zolder,Belgium
