season,team_id,position,points,wins
1958,vanwall,1,48,6
1958,ferrari,2,40,2
1958,cooper,3,31,2
1958,brm,4,18,0
1958,maserati,5,6,0
1958,team_lotus,6,3,0
1958,porsche,7,0,0
1958,connaught,8,0,0
1958,osca,9,0,0
1959,cooper-climax,1,40,5
1959,ferrari,2,32,2
1959,brm,3,18,1
1959,team_lotus,4,5,0
1959,aston_martin,5,0,0
1959,cooper-maserati,6,0,0
1959,kurtis_kraft,7,0,0
1959,porsche,8,0,0
1959,maserati,9,0,0
1959,cooper-borgward,10,0,0
1959,cooper-osca,11,0,0
1959,tec-mec,12,0,0
1959,connaught,13,0,0
1959,jbw,14,0,0
1959,vanwall,15,0,0
1959,fry,16,0,0
1960,cooper-climax,1,48,6
1960,team_lotus,2,34,2
1960,ferrari,3,26,1
1960,brm,4,8,0
1960,cooper-maserati,5,3,0
1960,cooper-castellotti,6,3,0
1960,porsche,7,1,0
1960,behra-porsche,8,0,0
1960,scarab,9,0,0
1960,aston_martin,10,0,0
1960,maserati,11,0,0
1960,jbw,12,0,0
1960,vanwall,13,0,0
1961,ferrari,1,45,5
1961,lotus-climax,2,35,3
1961,porsche,3,22,0
1961,cooper-climax,4,14,0
1961,brm,5,7,0
1961,cooper-maserati,6,0,0
1961,gilby,7,0,0
1961,lotus-maserati,8,0,0
1961,de_tomaso-alfa_romeo,9,0,0
1961,emeryson,10,0,0
1961,de_tomaso-osca,11,0,0
1961,jbw,12,0,0
1961,mbm,13,0,0
1962,brm,1,42,4
1962,lotus-climax,2,36,3
1962,cooper-climax,3,29,1
1962,lola,4,19,0
1962,porsche,5,18,1
1962,ferrari,6,18,0
1962,brabham,7,6,0
1962,lotus-brm,8,1,0
1962,emeryson,9,0,0
1962,enb,10,0,0
1962,cooper,11,0,0
1962,lds,12,0,0
1962,cooper-alfa_romeo,13,0,0
1962,team_lotus,14,0,0
1962,gilby,15,0,0
1962,de_tomaso-alfa_romeo,16,0,0
1962,de_tomaso-osca,17,0,0
1962,tomaso,18,0,0
1962,lotus-borgward,19,0,0
1963,lotus-climax,1,54,7
1963,brm,2,36,2
1963,brabham,3,28,0
1963,ferrari,4,26,1
1963,cooper-climax,5,25,0
1963,brp,6,6,0
1963,porsche,7,5,0
1963,lotus-brm,8,4,0
1963,lola,9,0,0
1963,stebro,10,0,0
1963,scirocco,11,0,0
1963,ats,12,0,0
1963,lds,13,0,0
1963,cooper-maserati,14,0,0
1963,lotus-ford,15,0,0
1963,alfa,16,0,0
1963,gilby,17,0,0
1963,tomaso,18,0,0
1963,team_lotus,19,0,0
1963,lotus-borgward,20,0,0
1963,de_tomaso-ferrari,21,0,0
1963,lotus-maserati,22,0,0
1964,ferrari,1,45,3
1964,brm,2,42,2
1964,lotus-climax,3,37,3
1964,brabham-climax,4,30,2
1964,cooper-climax,5,16,0
1964,brabham-brm,6,7,0
1964,brp,7,5,0
1964,lotus-brm,8,3,0
1964,honda,9,0,0
1964,scirocco,10,0,0
1964,derrington,11,0,0
1964,porsche,12,0,0
1964,brabham-ford,13,0,0
1965,lotus-climax,1,54,6
1965,brm,2,45,3
1965,brabham-climax,3,27,0
1965,ferrari,4,26,0
1965,cooper-climax,5,14,0
1965,honda,6,11,1
1965,brabham-brm,7,5,0
1965,lotus-brm,8,2,0
1965,brabham-ford,9,0,0
1965,alfa,10,0,0
1965,lds-alfa_romeo,11,0,0
1965,cooper-ford,12,0,0
