season,round,circuitId,time,driverId
2021,17,americas,01:34:36.552000,max_verstappen
2021,16,istanbul,01:31:04.103000,bottas
2021,15,sochi,01:30:41.001000,hamilton
2021,14,monza,01:21:54.365000,ricciardo
2021,13,zandvoort,01:30:05.395000,max_verstappen
2021,12,spa,00:03:27.071000,max_verstappen
2021,11,hungaroring,02:04:43.199000,ocon
2021,10,silverstone,01:58:23.284000,hamilton
2021,9,red_bull_ring,01:23:54.543000,max_verstappen
2021,8,red_bull_ring,01:22:18.925000,max_verstappen
2021,7,ricard,01:27:25.770000,max_verstappen
2021,6,BAK,02:13:36.410000,perez
2021,5,monaco,01:38:56.820000,max_verstappen
2021,4,catalunya,01:33:07.680000,hamilton
2021,3,portimao,01:34:31.421000,hamilton
2021,2,imola,02:02:34.598000,max_verstappen
2021,1,bahrain,01:32:03.897000,hamilton
2020,17,yas_marina,01:36:28.645000,max_verstappen
2020,16,bahrain,01:31:15.114000,perez
2020,15,bahrain,02:59:47.515000,hamilton
2020,14,istanbul,01:42:19.313000,hamilton
2020,13,imola,01:28:32.430000,hamilton
2020,12,portimao,01:29:56.828000,hamilton
2020,11,nurburgring,01:35:49.641000,hamilton
2020,10,sochi,01:34:00.364000,bottas
2020,9,mugello,02:19:35.060000,hamilton
2020,8,monza,01:47:06.056000,gasly
2020,7,spa,01:24:08.761000,hamilton
2020,6,catalunya,01:31:45.279000,hamilton
2020,5,silverstone,01:19:41.993000,max_verstappen
2020,4,silverstone,01:28:01.283000,hamilton
2020,3,hungaroring,01:36:12.473000,hamilton
2020,2,red_bull_ring,01:22:50.683000,hamilton
2020,1,red_bull_ring,01:30:55.739000,bottas
2019,21,yas_marina,01:34:05.715000,hamilton
2019,20,interlagos,01:33:14.678000,max_verstappen
2019,19,americas,01:33:55.653000,bottas
2019,18,rodriguez,01:36:48.904000,hamilton
2019,17,suzuka,01:21:46.755000,bottas
2019,16,sochi,01:33:38.992000,hamilton
2019,15,marina_bay,01:58:33.667000,vettel
2019,14,monza,01:15:26.665000,leclerc
2019,13,spa,01:23:45.710000,leclerc
2019,12,hungaroring,01:35:03.796000,hamilton
2019,11,hockenheimring,01:44:31.275000,max_verstappen
2019,10,silverstone,01:21:08.452000,hamilton
2019,9,red_bull_ring,01:22:01.822000,max_verstappen
2019,8,ricard,01:24:31.198000,hamilton
2019,7,villeneuve,01:29:07.084000,hamilton
2019,6,monaco,01:43:28.437000,hamilton
2019,5,catalunya,01:35:50.443000,hamilton
2019,4,BAK,01:31:52.942000,bottas
2019,3,shanghai,01:32:06.350000,hamilton
2019,2,bahrain,01:34:21.295000,hamilton
2019,1,albert_park,01:25:27.325000,bottas
2018,21,yas_marina,01:39:40.382000,hamilton
2018,20,interlagos,01:27:09.066000,hamilton
2018,19,rodriguez,01:38:28.851000,max_verstappen
2018,18,americas,01:34:18.643000,raikkonen
2018,17,suzuka,01:27:17.062000,hamilton
2018,16,sochi,01:27:25.181000,hamilton
2018,15,marina_bay,01:51:11.611000,hamilton
2018,14,monza,01:16:54.484000,hamilton
2018,13,spa,01:23:34.476000,vettel
2018,12,hungaroring,01:37:16.427000,hamilton
2018,11,hockenheimring,01:32:29.845000,hamilton
2018,10,silverstone,01:27:29.784000,vettel
2018,9,red_bull_ring,01:21:56.024000,max_verstappen
2018,8,ricard,01:30:11.385000,hamilton
2018,7,villeneuve,01:28:31.377000,vettel
2018,6,monaco,01:42:54.807000,ricciardo
2018,5,catalunya,01:35:29.972000,hamilton
2018,4,BAK,01:43:44.291000,hamilton
2018,3,shanghai,01:35:36.380000,ricciardo
2018,2,bahrain,01:32:01.940000,vettel
2018,1,albert_park,01:29:33.283000,vettel
2017,20,yas_marina,01:34:14.062000,bottas
2017,19,interlagos,01:31:26.262000,vettel
2017,18,rodriguez,01:36:26.552000,max_verstappen
2017,17,americas,01:33:50.991000,hamilton
2017,16,suzuka,01:27:31.194000,hamilton
2017,15,sepang,01:30:01.290000,max_verstappen
2017,14,marina_bay,02:03:23.544000,hamilton
2017,13,monza,01:15:32.312000,hamilton
2017,12,spa,01:24:42.820000,hamilton
2017,11,hungaroring,01:39:46.713000,vettel
2017,10,silverstone,01:21:27.430000,hamilton
2017,9,red_bull_ring,01:21:48.523000,bottas
2017,8,BAK,02:03:55.573000,ricciardo
2017,7,villeneuve,01:33:05.154000,hamilton
2017,6,monaco,01:44:44.340000,vettel
2017,5,catalunya,01:35:56.497000,hamilton
2017,4,sochi,01:28:08.743000,bottas
2017,3,bahrain,01:33:53.374000,vettel
2017,2,shanghai,01:37:36.158000,hamilton
2017,1,albert_park,01:24:11.672000,vettel
2016,21,yas_marina,01:38:04.013000,hamilton
2016,20,interlagos,03:01:01.335000,hamilton
2016,19,rodriguez,01:40:31.402000,hamilton
2016,18,americas,01:38:12.618000,hamilton
2016,17,suzuka,01:26:43.333000,rosberg
2016,16,sepang,01:37:12.776000,ricciardo
2016,15,marina_bay,01:55:48.950000,rosberg
2016,14,monza,01:17:28.089000,rosberg
2016,13,spa,01:44:51.058000,rosberg
2016,12,hockenheimring,01:30:44.200000,hamilton
2016,11,hungaroring,01:40:30.115000,hamilton
2016,10,silverstone,01:34:55.831000,hamilton
2016,9,red_bull_ring,01:27:38.107000,hamilton
2016,8,BAK,01:32:52.366000,rosberg
2016,7,villeneuve,01:31:05.296000,hamilton
2016,6,monaco,01:59:29.133000,hamilton
2016,5,catalunya,01:41:40.017000,max_verstappen
2016,4,sochi,01:32:41.997000,rosberg
2016,3,shanghai,01:38:53.891000,rosberg
2016,2,bahrain,01:33:34.696000,rosberg
2016,1,albert_park,01:48:15.565000,rosberg
2015,19,yas_marina,01:38:30.175000,rosberg
2015,18,interlagos,01:31:09.090000,rosberg
2015,17,rodriguez,01:42:35.038000,rosberg
2015,16,americas,01:50:52.703000,hamilton
2015,15,sochi,01:37:11.024000,hamilton
2015,14,suzuka,01:28:06.508000,hamilton
2015,13,marina_bay,02:01:22.118000,vettel
2015,12,monza,01:18:00.688000,hamilton
2015,11,spa,01:23:40.387000,hamilton
2015,10,hungaroring,01:46:09.985000,vettel
2015,9,silverstone,01:31:27.729000,hamilton
2015,8,red_bull_ring,01:30:16.930000,rosberg
2015,7,villeneuve,01:31:53.145000,hamilton
2015,6,monaco,01:49:18.420000,rosberg
2015,5,catalunya,01:41:12.555000,rosberg
2015,4,bahrain,01:35:05.809000,hamilton
2015,3,shanghai,01:39:42.008000,hamilton
2015,2,sepang,01:41:05.793000,vettel
2015,1,albert_park,01:31:54.067000,hamilton
2014,19,yas_marina,01:39:02.619000,hamilton
2014,18,interlagos,01:30:02.555000,rosberg
2014,17,americas,01:40:04.785000,hamilton
2014,16,sochi,01:31:50.744000,hamilton
2014,15,suzuka,01:51:43.021000,hamilton
2014,14,marina_bay,02:00:04.795000,hamilton
2014,13,monza,01:19:10.236000,hamilton
2014,12,spa,01:24:36.556000,ricciardo
2014,11,hungaroring,01:53:05.058000,ricciardo
2014,10,hockenheimring,01:33:42.914000,rosberg
2014,9,silverstone,02:26:52.094000,hamilton
2014,8,red_bull_ring,01:27:54.976000,rosberg
2014,7,villeneuve,01:39:12.830000,ricciardo
2014,6,monaco,01:49:27.661000,rosberg
2014,5,catalunya,01:41:05.155000,hamilton
2014,4,shanghai,01:33:28.338000,hamilton
2014,3,bahrain,01:39:42.743000,hamilton
2014,2,sepang,01:40:25.974000,hamilton
2014,1,albert_park,01:32:58.710000,rosberg
2013,19,interlagos,01:32:36.300000,vettel
2013,18,americas,01:39:17.148000,vettel
2013,17,yas_marina,01:38:06.106000,vettel
2013,16,buddh,01:31:12.187000,vettel
2013,15,suzuka,01:26:49.301000,vettel
2013,14,yeongam,01:43:13.701000,vettel
2013,13,marina_bay,01:59:13.132000,vettel
2013,12,monza,01:18:33.352000,vettel
2013,11,spa,01:23:42.196000,vettel
2013,10,hungaroring,01:42:29.445000,hamilton
2013,9,nurburgring,01:41:14.711000,vettel
2013,8,silverstone,01:32:59.456000,rosberg
2013,7,villeneuve,01:32:09.143000,vettel
2013,6,monaco,02:17:52.056000,rosberg
2013,5,catalunya,01:39:16.596000,alonso
2013,4,bahrain,01:36:00.498000,vettel
2013,3,shanghai,01:36:26.945000,alonso
2013,2,sepang,01:38:56.681000,vettel
2013,1,albert_park,01:30:03.225000,raikkonen
2012,20,interlagos,01:45:22.656000,button
2012,19,americas,01:35:55.269000,hamilton
2012,18,yas_marina,01:45:58.667000,raikkonen
2012,17,buddh,01:31:10.744000,vettel
2012,16,yeongam,01:36:28.651000,vettel
2012,15,suzuka,01:28:56.242000,vettel
2012,14,marina_bay,02:00:26.144000,vettel
2012,13,monza,01:19:41.221000,hamilton
2012,12,spa,01:29:08.530000,button
2012,11,hungaroring,01:41:05.503000,hamilton
2012,10,hockenheimring,01:31:05.862000,alonso
2012,9,silverstone,01:25:11.288000,webber
2012,8,valencia,01:44:16.649000,alonso
2012,7,villeneuve,01:32:29.586000,hamilton
2012,6,monaco,01:46:06.557000,webber
2012,5,catalunya,01:39:09.145000,maldonado
2012,4,bahrain,01:35:10.990000,vettel
2012,3,shanghai,01:36:26.929000,rosberg
2012,2,sepang,02:44:51.812000,alonso
2012,1,albert_park,01:34:09.565000,button
2011,19,interlagos,01:32:17.464000,webber
2011,18,yas_marina,01:37:11.886000,hamilton
2011,17,buddh,01:30:35.002000,vettel
2011,16,yeongam,01:38:01.994000,vettel
2011,15,suzuka,01:30:53.427000,button
2011,14,marina_bay,01:59:04.757000,vettel
2011,13,monza,01:20:46.172000,vettel
2011,12,spa,01:26:44.893000,vettel
2011,11,hungaroring,01:46:42.337000,button
2011,10,nurburgring,01:37:30.344000,hamilton
2011,9,silverstone,01:28:41.196000,alonso
2011,8,valencia,01:39:36.169000,vettel
2011,7,villeneuve,04:04:39.537000,button
2011,6,monaco,02:09:38.373000,vettel
2011,5,catalunya,01:39:03.301000,vettel
2011,4,istanbul,01:30:17.558000,vettel
2011,3,shanghai,01:36:58.226000,hamilton
2011,2,sepang,01:37:39.832000,vettel
2011,1,albert_park,01:29:30.259000,vettel
2010,19,yas_marina,01:39:36.837000,vettel
2010,18,interlagos,01:33:11.803000,vettel
2010,17,yeongam,02:48:20.810000,alonso
2010,16,suzuka,01:30:27.323000,vettel
2010,15,marina_bay,01:57:53.579000,alonso
2010,14,monza,01:16:24.572000,alonso
2010,13,spa,01:29:04.268000,hamilton
2010,12,hungaroring,01:41:05.571000,webber
2010,11,hockenheimring,01:27:38.864000,alonso
2010,10,silverstone,01:24:38.200000,webber
2010,9,valencia,01:40:29.571000,vettel
2010,8,villeneuve,01:33:53.456000,hamilton
2010,7,istanbul,01:28:47.620000,hamilton
2010,6,monaco,01:50:13.355000,webber
2010,5,catalunya,01:35:44.101000,webber
2010,4,shanghai,01:46:42.163000,button
2010,3,sepang,01:33:48.412000,vettel
2010,2,albert_park,01:33:36.531000,button
2010,1,bahrain,01:39:20.396000,alonso
2009,17,yas_marina,01:34:03.414000,vettel
2009,16,interlagos,01:32:23.081000,webber
2009,15,suzuka,01:28:20.443000,vettel
2009,14,marina_bay,01:56:06.337000,hamilton
2009,13,monza,01:16:21.706000,barrichello
2009,12,spa,01:23:50.995000,raikkonen
2009,11,valencia,01:35:51.289000,barrichello
2009,10,hungaroring,01:38:23.876000,hamilton
2009,9,nurburgring,01:36:43.310000,webber
2009,8,silverstone,01:22:49.328000,vettel
2009,7,istanbul,01:26:24.848000,button
2009,6,monaco,01:40:44.282000,button
2009,5,catalunya,01:37:19.202000,button
2009,4,bahrain,01:31:48.182000,button
2009,3,shanghai,01:57:43.485000,vettel
2009,2,sepang,01:10:52.092000,button
2009,1,albert_park,01:34:15.784000,button
2008,18,interlagos,01:34:11.435000,massa
2008,17,shanghai,01:31:57.403000,hamilton
2008,16,fuji,01:30:21.892000,alonso
2008,15,marina_bay,01:57:16.304000,alonso
2008,14,monza,01:26:47.494000,vettel
2008,13,spa,01:22:59.394000,massa
2008,12,valencia,01:35:32.339000,massa
