season,round,circuitId,time,driverId
2021,17,americas,1:34:36.552,max_verstappen
2021,16,istanbul,1:31:04.103,bottas
2021,15,sochi,1:30:41.001,hamilton
2021,14,monza,1:21:54.365,ricciardo
2021,13,zandvoort,1:30:05.395,max_verstappen
2021,12,spa,3:27.071,max_verstappen
2021,11,hungaroring,2:04:43.199,ocon
2021,10,silverstone,1:58:23.284,hamilton
2021,9,red_bull_ring,1:23:54.543,max_verstappen
2021,8,red_bull_ring,1:22:18.925,max_verstappen
2021,7,ricard,1:27:25.770,max_verstappen
2021,6,BAK,2:13:36.410,perez
2021,5,monaco,1:38:56.820,max_verstappen
2021,4,catalunya,1:33:07.680,hamilton
2021,3,portimao,1:34:31.421,hamilton
2021,2,imola,2:02:34.598,max_verstappen
2021,1,bahrain,1:32:03.897,hamilton
2020,17,yas_marina,1:36:28.645,max_verstappen
2020,16,bahrain,1:31:15.114,perez
2020,15,bahrain,2:59:47.515,hamilton
2020,14,istanbul,1:42:19.313,hamilton
2020,13,imola,1:28:32.430,hamilton
2020,12,portimao,1:29:56.828,hamilton
2020,11,nurburgring,1:35:49.641,hamilton
2020,10,sochi,1:34:00.364,bottas
2020,9,mugello,2:19:35.060,hamilton
2020,8,monza,1:47:06.056,gasly
2020,7,spa,1:24:08.761,hamilton
2020,6,catalunya,1:31:45.279,hamilton
2020,5,silverstone,1:19:41.993,max_verstappen
2020,4,silverstone,1:28:01.283,hamilton
2020,3,hungaroring,1:36:12.473,hamilton
2020,2,red_bull_ring,1:22:50.683,hamilton
2020,1,red_bull_ring,1:30:55.739,bottas
2019,21,yas_marina,1:34:05.715,hamilton
2019,20,interlagos,1:33:14.678,max_verstappen
2019,19,americas,1:33:55.653,bottas
2019,18,rodriguez,1:36:48.904,hamilton
2019,17,suzuka,1:21:46.755,bottas
2019,16,sochi,1:33:38.992,hamilton
2019,15,marina_bay,1:58:33.667,vettel
2019,14,monza,1:15:26.665,leclerc
2019,13,spa,1:23:45.710,leclerc
2019,12,hungaroring,1:35:03.796,hamilton
2019,11,hockenheimring,1:44:31.275,max_verstappen
2019,10,silverstone,1:21:08.452,hamilton
2019,9,red_bull_ring,1:22:01.822,max_verstappen
2019,8,ricard,1:24:31.198,hamilton
2019,7,villeneuve,1:29:07.084,hamilton
2019,6,monaco,1:43:28.437,hamilton
2019,5,catalunya,1:35:50.443,hamilton
2019,4,BAK,1:31:52.942,bottas
2019,3,shanghai,1:32:06.350,hamilton
2019,2,bahrain,1:34:21.295,hamilton
2019,1,albert_park,1:25:27.325,bottas
2018,21,yas_marina,1:39:40.382,hamilton
2018,20,interlagos,1:27:09.066,hamilton
